InsertionSort Algorithm, Ascending Data, T[ns], 39042, N, 1000, samples, 7, stdDev, 23055
InsertionSort Algorithm, Ascending Data, T[ns], 41457, N, 1500, samples, 7, stdDev, 32796
InsertionSort Algorithm, Ascending Data, T[ns], 44557, N, 2000, samples, 7, stdDev, 26443
InsertionSort Algorithm, Ascending Data, T[ns], 67500, N, 2500, samples, 7, stdDev, 36037
InsertionSort Algorithm, Ascending Data, T[ns], 65457, N, 3000, samples, 7, stdDev, 27135
InsertionSort Algorithm, Ascending Data, T[ns], 75771, N, 3500, samples, 7, stdDev, 29752
InsertionSort Algorithm, Ascending Data, T[ns], 90557, N, 4000, samples, 7, stdDev, 33139
InsertionSort Algorithm, Ascending Data, T[ns], 102728, N, 4500, samples, 7, stdDev, 33885
InsertionSort Algorithm, Constant Data, T[ns], 38457, N, 1000, samples, 7, stdDev, 27199
InsertionSort Algorithm, Constant Data, T[ns], 27657, N, 1500, samples, 7, stdDev, 6015
InsertionSort Algorithm, Constant Data, T[ns], 43757, N, 2000, samples, 7, stdDev, 29628
InsertionSort Algorithm, Constant Data, T[ns], 71114, N, 2500, samples, 7, stdDev, 33944
InsertionSort Algorithm, Constant Data, T[ns], 88471, N, 3000, samples, 7, stdDev, 61357
InsertionSort Algorithm, Constant Data, T[ns], 65528, N, 3500, samples, 7, stdDev, 20514
InsertionSort Algorithm, Constant Data, T[ns], 74171, N, 4000, samples, 7, stdDev, 20917
InsertionSort Algorithm, Constant Data, T[ns], 80214, N, 4500, samples, 7, stdDev, 16779
InsertionSort Algorithm, Descending Data, T[ns], 16600385, N, 1000, samples, 7, stdDev, 12101839
InsertionSort Algorithm, Descending Data, T[ns], 24138457, N, 1500, samples, 7, stdDev, 1010198
InsertionSort Algorithm, Descending Data, T[ns], 41062571, N, 2000, samples, 7, stdDev, 1266757
InsertionSort Algorithm, Descending Data, T[ns], 62854157, N, 2500, samples, 7, stdDev, 1478276
InsertionSort Algorithm, Descending Data, T[ns], 89543700, N, 3000, samples, 7, stdDev, 2643545
InsertionSort Algorithm, Descending Data, T[ns], 118224014, N, 3500, samples, 7, stdDev, 2816079
InsertionSort Algorithm, Descending Data, T[ns], 162656342, N, 4000, samples, 7, stdDev, 20106778
InsertionSort Algorithm, Descending Data, T[ns], 191094685, N, 4500, samples, 7, stdDev, 2748370
InsertionSort Algorithm, Random Uniform Data, T[ns], 6186542, N, 1000, samples, 7, stdDev, 858222
InsertionSort Algorithm, Random Uniform Data, T[ns], 11790957, N, 1500, samples, 7, stdDev, 656817
InsertionSort Algorithm, Random Uniform Data, T[ns], 21876400, N, 2000, samples, 7, stdDev, 1004270
InsertionSort Algorithm, Random Uniform Data, T[ns], 33579057, N, 2500, samples, 7, stdDev, 3021424
