SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 8480200
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 6955000
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 6706600
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 7628700
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 6487700
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 21700
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 14994700
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 83100
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 1367000
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 18756900
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 12646000
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 19113900
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 1033600
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 16425900
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 13520900
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 17305000
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 281800
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 226000
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 171800
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 207500
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 6929700
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 4218600
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 5387200
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 4488200
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 6242100
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 66600
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 11000100
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 32600
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 1047300
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 16037200
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 15829500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 16489600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 1030900
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 15628500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 11708200
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 19390800
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 519200
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 266800
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 138900
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 264500
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 6765500
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 4178100
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 6752700
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 6543200
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 5501500
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 44800
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 11364400
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 17400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 1099400
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 16899800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 12975900
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 17399700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 1396600
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 18700300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 13316900
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 17068200
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 344400
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 236800
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 213700
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 316100
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 5484900
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 5634100
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 5435800
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 4060100
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 7757600
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 14900
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 46025100
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 78400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 1411500
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 37595700
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 11100500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 15724000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 1357800
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 18113000
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 13421300
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 15768000
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 391400
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 219700
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 240800
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 263500
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 5817800
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 4460100
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 5949200
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 4080300
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 6661700
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 28800
