InsertionSort Algorithm, Ascending Data, T[ns], 9560, N, 1000, samples, 10, stdDev, 2046
InsertionSort Algorithm, Ascending Data, T[ns], 79300, N, 10000, samples, 10, stdDev, 20299
InsertionSort Algorithm, Ascending Data, T[ns], 73830, N, 10500, samples, 10, stdDev, 10907
InsertionSort Algorithm, Ascending Data, T[ns], 13670, N, 1500, samples, 10, stdDev, 4052
InsertionSort Algorithm, Ascending Data, T[ns], 15280, N, 2000, samples, 10, stdDev, 3711
InsertionSort Algorithm, Ascending Data, T[ns], 20630, N, 2500, samples, 10, stdDev, 4581
InsertionSort Algorithm, Ascending Data, T[ns], 23140, N, 3000, samples, 10, stdDev, 5172
InsertionSort Algorithm, Ascending Data, T[ns], 28610, N, 3500, samples, 10, stdDev, 5949
InsertionSort Algorithm, Ascending Data, T[ns], 45540, N, 4000, samples, 10, stdDev, 24541
InsertionSort Algorithm, Ascending Data, T[ns], 52490, N, 4500, samples, 10, stdDev, 30458
InsertionSort Algorithm, Ascending Data, T[ns], 41090, N, 5000, samples, 10, stdDev, 11576
InsertionSort Algorithm, Ascending Data, T[ns], 41210, N, 5500, samples, 10, stdDev, 6019
InsertionSort Algorithm, Ascending Data, T[ns], 46590, N, 6000, samples, 10, stdDev, 10644
InsertionSort Algorithm, Ascending Data, T[ns], 58710, N, 6500, samples, 10, stdDev, 11235
InsertionSort Algorithm, Ascending Data, T[ns], 62230, N, 7000, samples, 10, stdDev, 29552
InsertionSort Algorithm, Ascending Data, T[ns], 57950, N, 7500, samples, 10, stdDev, 8869
InsertionSort Algorithm, Ascending Data, T[ns], 66400, N, 8000, samples, 10, stdDev, 19621
InsertionSort Algorithm, Ascending Data, T[ns], 68610, N, 8500, samples, 10, stdDev, 13486
InsertionSort Algorithm, Ascending Data, T[ns], 67510, N, 9000, samples, 10, stdDev, 11885
InsertionSort Algorithm, Ascending Data, T[ns], 70910, N, 9500, samples, 10, stdDev, 13359
InsertionSort Algorithm, Constant Data, T[ns], 8960, N, 1000, samples, 10, stdDev, 2312
InsertionSort Algorithm, Constant Data, T[ns], 81170, N, 10000, samples, 10, stdDev, 20973
InsertionSort Algorithm, Constant Data, T[ns], 82930, N, 10500, samples, 10, stdDev, 22171
InsertionSort Algorithm, Constant Data, T[ns], 12050, N, 1500, samples, 10, stdDev, 2119
InsertionSort Algorithm, Constant Data, T[ns], 15790, N, 2000, samples, 10, stdDev, 3585
InsertionSort Algorithm, Constant Data, T[ns], 18370, N, 2500, samples, 10, stdDev, 2873
InsertionSort Algorithm, Constant Data, T[ns], 26410, N, 3000, samples, 10, stdDev, 6398
InsertionSort Algorithm, Constant Data, T[ns], 35750, N, 3500, samples, 10, stdDev, 13265
InsertionSort Algorithm, Constant Data, T[ns], 37320, N, 4000, samples, 10, stdDev, 12278
InsertionSort Algorithm, Constant Data, T[ns], 36380, N, 4500, samples, 10, stdDev, 7563
InsertionSort Algorithm, Constant Data, T[ns], 38460, N, 5000, samples, 10, stdDev, 9568
InsertionSort Algorithm, Constant Data, T[ns], 47080, N, 5500, samples, 10, stdDev, 9288
InsertionSort Algorithm, Constant Data, T[ns], 50920, N, 6000, samples, 10, stdDev, 13182
InsertionSort Algorithm, Constant Data, T[ns], 49690, N, 6500, samples, 10, stdDev, 8834
InsertionSort Algorithm, Constant Data, T[ns], 48550, N, 7000, samples, 10, stdDev, 9830
InsertionSort Algorithm, Constant Data, T[ns], 66370, N, 7500, samples, 10, stdDev, 34450
InsertionSort Algorithm, Constant Data, T[ns], 55930, N, 8000, samples, 10, stdDev, 9611
InsertionSort Algorithm, Constant Data, T[ns], 76890, N, 8500, samples, 10, stdDev, 19922
InsertionSort Algorithm, Constant Data, T[ns], 66980, N, 9000, samples, 10, stdDev, 13283
InsertionSort Algorithm, Constant Data, T[ns], 74020, N, 9500, samples, 10, stdDev, 17433
InsertionSort Algorithm, Descending Data, T[ns], 5778000, N, 1000, samples, 10, stdDev, 127428
InsertionSort Algorithm, Descending Data, T[ns], 587031920, N, 10000, samples, 10, stdDev, 19121342
InsertionSort Algorithm, Descending Data, T[ns], 640534840, N, 10500, samples, 10, stdDev, 4389300
InsertionSort Algorithm, Descending Data, T[ns], 13004070, N, 1500, samples, 10, stdDev, 161398
InsertionSort Algorithm, Descending Data, T[ns], 23023590, N, 2000, samples, 10, stdDev, 84489
InsertionSort Algorithm, Descending Data, T[ns], 36110830, N, 2500, samples, 10, stdDev, 405013
InsertionSort Algorithm, Descending Data, T[ns], 55945820, N, 3000, samples, 10, stdDev, 6523408
InsertionSort Algorithm, Descending Data, T[ns], 73911190, N, 3500, samples, 10, stdDev, 2359902
InsertionSort Algorithm, Descending Data, T[ns], 94345620, N, 4000, samples, 10, stdDev, 1537071
InsertionSort Algorithm, Descending Data, T[ns], 118894330, N, 4500, samples, 10, stdDev, 1538189
InsertionSort Algorithm, Descending Data, T[ns], 148620600, N, 5000, samples, 10, stdDev, 5766008
InsertionSort Algorithm, Descending Data, T[ns], 175050100, N, 5500, samples, 10, stdDev, 647564
InsertionSort Algorithm, Descending Data, T[ns], 209986810, N, 6000, samples, 10, stdDev, 5903211
InsertionSort Algorithm, Descending Data, T[ns], 247777500, N, 6500, samples, 10, stdDev, 8111389
InsertionSort Algorithm, Descending Data, T[ns], 286980510, N, 7000, samples, 10, stdDev, 3205212
InsertionSort Algorithm, Descending Data, T[ns], 331225290, N, 7500, samples, 10, stdDev, 11005580
InsertionSort Algorithm, Descending Data, T[ns], 371280750, N, 8000, samples, 10, stdDev, 7379720
InsertionSort Algorithm, Descending Data, T[ns], 433194080, N, 8500, samples, 10, stdDev, 16704072
InsertionSort Algorithm, Descending Data, T[ns], 469630440, N, 9000, samples, 10, stdDev, 7733360
InsertionSort Algorithm, Descending Data, T[ns], 523369170, N, 9500, samples, 10, stdDev, 5866988
InsertionSort Algorithm, Random Uniform Data, T[ns], 3018390, N, 1000, samples, 10, stdDev, 216799
InsertionSort Algorithm, Random Uniform Data, T[ns], 296039000, N, 10000, samples, 10, stdDev, 11278644
InsertionSort Algorithm, Random Uniform Data, T[ns], 331249770, N, 10500, samples, 10, stdDev, 20794804
InsertionSort Algorithm, Random Uniform Data, T[ns], 6573360, N, 1500, samples, 10, stdDev, 347166
InsertionSort Algorithm, Random Uniform Data, T[ns], 11707300, N, 2000, samples, 10, stdDev, 167832
InsertionSort Algorithm, Random Uniform Data, T[ns], 18144260, N, 2500, samples, 10, stdDev, 384387
InsertionSort Algorithm, Random Uniform Data, T[ns], 26660550, N, 3000, samples, 10, stdDev, 750247
InsertionSort Algorithm, Random Uniform Data, T[ns], 37696620, N, 3500, samples, 10, stdDev, 2256510
InsertionSort Algorithm, Random Uniform Data, T[ns], 48566790, N, 4000, samples, 10, stdDev, 3182070
InsertionSort Algorithm, Random Uniform Data, T[ns], 60213910, N, 4500, samples, 10, stdDev, 1418601
InsertionSort Algorithm, Random Uniform Data, T[ns], 73829780, N, 5000, samples, 10, stdDev, 1301687
InsertionSort Algorithm, Random Uniform Data, T[ns], 88342420, N, 5500, samples, 10, stdDev, 1158432
InsertionSort Algorithm, Random Uniform Data, T[ns], 105096900, N, 6000, samples, 10, stdDev, 788110
InsertionSort Algorithm, Random Uniform Data, T[ns], 127827790, N, 6500, samples, 10, stdDev, 15079319
InsertionSort Algorithm, Random Uniform Data, T[ns], 142760920, N, 7000, samples, 10, stdDev, 2266397
InsertionSort Algorithm, Random Uniform Data, T[ns], 164296780, N, 7500, samples, 10, stdDev, 3080798
InsertionSort Algorithm, Random Uniform Data, T[ns], 185218490, N, 8000, samples, 10, stdDev, 2306896
InsertionSort Algorithm, Random Uniform Data, T[ns], 216025360, N, 8500, samples, 10, stdDev, 9233952
InsertionSort Algorithm, Random Uniform Data, T[ns], 238127230, N, 9000, samples, 10, stdDev, 8907566
InsertionSort Algorithm, Random Uniform Data, T[ns], 260754930, N, 9500, samples, 10, stdDev, 3228198
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 8937830, N, 1000, samples, 10, stdDev, 129119
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 890797210, N, 10000, samples, 10, stdDev, 16834262
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 1017443070, N, 10500, samples, 10, stdDev, 31431360
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 21691920, N, 1500, samples, 10, stdDev, 6255483
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 34804810, N, 2000, samples, 10, stdDev, 398638
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 53539810, N, 2500, samples, 10, stdDev, 310178
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 79967680, N, 3000, samples, 10, stdDev, 4834123
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 106577920, N, 3500, samples, 10, stdDev, 10873923
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 113607210, N, 4000, samples, 10, stdDev, 6855319
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 166676930, N, 4500, samples, 10, stdDev, 3245943
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 216956660, N, 5000, samples, 10, stdDev, 15859144
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 251914270, N, 5500, samples, 10, stdDev, 8448462
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 295868850, N, 6000, samples, 10, stdDev, 10005386
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 353632010, N, 6500, samples, 10, stdDev, 11498391
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 411550400, N, 7000, samples, 10, stdDev, 21671059
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 472142400, N, 7500, samples, 10, stdDev, 25952246
QuickSort Algorithm (Median of three as Pivot), Ascending Data, T[ns], 536271620, N, 8000, samples, 10, stdDev, 19416922
