SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 4397000
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 2627800
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 3178200
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 2670200
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2942900
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 8000
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 6142600
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 13400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 736100
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 9167100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 6649100
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 8848300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 591700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 9105700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 6641800
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 9054100
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 208000
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 141400
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 112700
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 103900
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2883000
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 2676500
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 3222300
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 2576000
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 3437800
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 7400
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 5726800
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 7200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 646900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 8994000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 7012300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 8771300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 608600
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 8907100
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 7003800
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 8863100
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 157600
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 89700
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 88000
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 94200
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2778400
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 4542900
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 3782300
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 2583100
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 3393600
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 12100
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 5752500
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 11200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 724900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 9385100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 7032000
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 8733400
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 654900
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 8877000
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 8507500
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 8846600
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 155000
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 82000
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 72300
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 100900
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2777200
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 2784700
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 2724400
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 2567800
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2913600
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 7700
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 5816300
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 7400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 576700
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 8848300
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 7132400
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 8984300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 590900
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 8867000
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 6781100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 9265200
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 155700
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 89000
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 80800
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 119900
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2758800
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 2580700
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 2648100
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 2588700
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2884900
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 7300
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 5680700
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 7500
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 642000
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 8861000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 6988300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 8778800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 739700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 9084300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 6856900
